name,platform,metascore,userscore,developer,genre
GoldenEye 007,"
                                                        Nintendo 64
                                    		    ",96,"
9.0
","
Rare Ltd. ",ActionShooterFirst-PersonModern
Castlevania: Symphony of the Night,"
                                                        PlayStation
                                    		    ",93,"
9.0
","
Konami ",ActionPlatformer2D
Sid Meier's Gettysburg!,"

                                                        PC
                                                    
",92,"
7.4
","
Firaxis Games ",StrategyReal-TimeWargameReal-TimeGeneral
Final Fantasy VII,"
                                                        PlayStation
                                    		    ",92,"
8.9
","
SquareSoft ",Role-PlayingConsole-style RPG
PaRappa the Rapper,"
                                                        PlayStation
                                    		    ",92,"
7.6
","
NanaOn-Sha ",MiscellaneousRhythmMusic
Myth: The Fallen Lords,"

                                                        PC
                                                    
",91,"
8.5
","
Bungie Software, Bungie ",StrategyReal-TimeFantasyGeneralFantasy
Colony Wars,"
                                                        PlayStation
                                    		    ",91,"
8.3
","
Psygnosis ",SimulationSci-FiSmall Spaceship
Star Wars Jedi Knight: Dark Forces II,"

                                                        PC
                                                    
",91,"
8.6
","
LucasArts ",ActionShooterShooterFirst-PersonSci-FiArcade
Blast Corps,"
                                                        Nintendo 64
                                    		    ",90,"
8.3
","
Rare Ltd. ",ActionGeneral
Fallout,"

                                                        PC
                                                    
",89,"
8.8
","
Black Isle Studios ",Role-PlayingFirst-PersonFirst-PersonPC-style RPGPC-style RPGWestern-Style
The Curse of Monkey Island,"

                                                        PC
                                                    
",89,"
9.0
","
LucasArts ",AdventureGeneralGeneralPoint-and-Click
Diddy Kong Racing,"
                                                        Nintendo 64
                                    		    ",88,"
8.5
","
Rare Ltd. ",DrivingRacingKart
Star Fox 64,"
                                                        Nintendo 64
                                    		    ",88,"
8.8
","
Nintendo ",ActionShooterRail
Total Annihilation,"

                                                        PC
                                                    
",86,"
8.8
","
Cavedog Entertainment ",StrategyReal-TimeSci-FiSci-FiGeneralCommand
Alundra,"
                                                        PlayStation
                                    		    ",86,"
8.6
","
Matrix Software ",Role-PlayingAction RPG
Oddworld: Abe's Oddysee,"
                                                        PlayStation
                                    		    ",85,"
8.8
","
Oddworld Inhabitants ",ActionPlatformer2D
Turok: Dinosaur Hunter,"
                                                        Nintendo 64
                                    		    ",85,"
8.3
","
Iguana Entertainment ",ActionShooterFirst-PersonSci-Fi
Obsidian,"

                                                        PC
                                                    
",85,"
7.1
","
Rocket Science Games ",AdventureGeneralGeneral
Bushido Blade,"
                                                        PlayStation
                                    		    ",83,"
8.4
","
Light Weight ",ActionFighting3D
Riven: The Sequel to Myst,"

                                                        PC
                                                    
",83,"
8.7
","
Cyan Worlds ",Adventure3DFirst-PersonFantasyFantasy
Age of Empires,"

                                                        PC
                                                    
",83,"
8.7
","
Ensemble Studios ",StrategyReal-TimeHistoricHistoricCommand
Ace Combat 2,"
                                                        PlayStation
                                    		    ",83,"
8.6
","
Namco ",SimulationFlightModern Jet
Mario Kart 64,"
                                                        Nintendo 64
                                    		    ",83,"
8.6
","
Nintendo ",DrivingRacingKart
Extreme-G,"
                                                        Nintendo 64
                                    		    ",82,"
8.5
","
Probe Entertainment Limited ",DrivingRacingFuturistic
Blood,"

                                                        PC
                                                    
",82,"
8.8
","
Monolith Productions ",ActionShooterShooterFirst-PersonModernModernArcade
The Last Express,"

                                                        PC
                                                    
",82,"
8.7
","
Smoking Car Productions ",AdventureGeneralGeneral
Duke Nukem 64,"
                                                        Nintendo 64
                                    		    ",73,"
7.4
","
Eurocom Entertainment Software ",ActionShooterFirst-PersonSci-Fi
Broken Sword: The Smoking Mirror,"

                                                        PC
                                                    
",69,"
8.0
","
Revolution Software ",AdventureThird-PersonPoint-and-ClickModernModern
Postal,"

                                                        PC
                                                    
",56,"
6.7
","
Running With Scissors ",ActionShooterGeneralShooterThird-PersonShoot-'Em-UpModernTop-Down
